Feature,Importance
competence,0.11419923011898163
trustworthiness,0.11119188318361858
aggressiveness,0.10701345015612537
attractiveness,0.10550810967633231
weighted_avg_gdp_growth_rate,0.10477296855053086
longitude,0.10064030445819291
weighted_avg_fiscal_growth_rate,0.09526024707599885
birthyear,0.09374222513373628
latitude,0.0877832862164749
connections,0.05169163911491241
edu,0.013133642795579773
eth_han,0.01032240772293426
female,0.004740605796581801
