rank,name,birthyear,begin,female,education,edu,edu_year,nation,eth_han,birth_prov,birth_city,purge,fwhr1,mouth_width,nose_width,nose_length,nwhr,eyebrow_position,foreheadr,lip_thickness,eyesize,chin_length,chin_width,flength,gdp,connections,attractiveness,competence,aggressiveness,trustworthiness,latitude,longitude,weighted_avg_gdp_growth_rate,weighted_avg_gdp,weighted_avg_fiscal_growth_rate,weighted_avg_fiscal_revenue,avg_gdp_growth_rate_t_plus_2,avg_fiscal_growth_rate_t_plus_2
1,童名谦,1958/6/1,2003/2/1,0,硕士,2,18,汉族,1,湖南省,长沙市,1,2.329828263,0.308093636,0.169264047,0.281056423,0.602242231,0.119726994,0.254785384,0.088985116,0.099878729,0.17330188,-0.391191329,0.366496669,-0.004953283,0,2.773023462,3.154802656,2.642285872,3.114397669,28.1450774,113.2384362,0.15226077,106.2225629,0.229101735,6029.495418,0.259631143,0.352659151
1,童怀伟,1959/1/1,2005/6/1,0,硕士,2,18,汉族,1,安徽省,芜湖市,0,2.494376084,0.313456382,0.163316397,0.261161805,0.625345642,0.124300073,0.246503591,0.09378657,0.100019257,0.190632083,-0.379493978,0.32233324,0.012502039,1.087671233,2.692711592,3.173111439,2.886306524,3.448483109,31.1800568,118.2141777,0.19530705,29.45708579,0.375853353,3083.113413,0.280580171,0.695228156
1,符太增,1956/9/1,2005/1/1,0,本科,1,16,汉族,1,辽宁省,锦州市,0,2.40863956,0.28590185,0.163333044,0.267639758,0.610271975,0.130388077,0.257783106,0.083352076,0.095241667,0.203424848,-0.379816301,0.338426849,0.073103704,0,2.96112361,3.109785604,2.979541206,3.227846432,41.1087113,121.1186159,0.254191765,37.11733,0.179369306,1571.565,0.779856145,0.638890045
1,米东生,1953/4/1,2002/5/1,0,硕士,2,18,汉族,1,云南省,玉溪市,0,2.653892519,0.316568075,0.175691698,0.270252899,0.650101068,0.140416648,0.245502322,0.073147499,0.115057523,0.191973655,-0.391554417,0.337674126,0.041254079,0,2.261337817,2.895865023,2.713377833,3.083177626,24.3511487,102.527044,0.207936417,41.77826333,0.227890754,3132.282,0.346233159,
1,纪峥,1964/11/1,2015/6/1,0,本科,1,16,汉族,1,江苏省,南通市,0,2.095055217,0.279751632,0.160189694,0.284812925,0.562438288,0.118789625,0.239086815,0.081387772,0.093026161,0.174462579,-0.362412949,0.367856724,0.001142206,0,2.48227334,2.959847927,2.716575563,3.143186808,31.9827896,120.8904588,0.115602403,24.23133667,0.024460613,1612.42,0.24445411,0.048468201
1,缪学刚,1962/3/1,2004/2/1,0,本科,1,16,汉族,1,河南省,信阳市,0,2.224872116,0.278635234,0.157372783,0.26850546,0.586106456,0.120362523,0.251690709,0.084997448,0.095864214,0.172821256,-0.368993133,0.366145897,-0.049692526,5.334246575,2.793186347,3.029753526,2.680580457,3.35998861,32.075,114.853333,0.114980689,42.57494612,0.29258278,2110.263674,0.209645291,0.668315273
1,罗一民,1954/2/1,2000/12/1,0,硕士,2,18,汉族,1,江苏省,淮安市,0,2.31320134,0.28643621,0.149197483,0.27359878,0.545314869,0.134421065,0.258828836,0.085610486,0.094092238,0.190589621,-0.376786,0.352952101,0.004751334,9.175342466,2.742671649,3.396835248,2.753721635,3.354022741,33.5524785,119.1075773,0.175635389,198.3105029,0.294355652,15740.92444,0.362592266,0.475020643
1,罗佳明,1963/4/1,2016/3/1,0,博士,2,22,汉族,1,四川省,乐山市,0,2.233433745,0.268402381,0.146071888,0.269739756,0.541528955,0.130336358,0.251554719,0.084812338,0.088317504,0.175537411,-0.342529211,0.343782349,-0.045631994,3.753424658,3.115841627,3.362258434,2.648320278,3.36669747,29.2233495,103.5966083,0.073153446,123.42,0.070922365,9935.6875,0.124226883,0.142818225
1,罗勤宏,1954/12/1,2007/5/1,0,硕士,2,18,汉族,1,四川省,遂宁市,1,2.226118048,0.285284759,0.157316612,0.276929099,0.568075414,0.131092132,0.246760135,0.081853273,0.097194769,0.180365616,-0.360071596,0.358118509,0.036088617,0,2.921532094,3.260825932,2.880403519,3.212202251,30.5061493,105.574542,0.214595228,64.25281,0.238099642,2439.461667,0.4293027,0.290151312
1,罗啸天,1949/2/1,2001/9/1,0,硕士,2,18,汉族,1,辽宁省,沈阳市,0,2.732073625,0.318222534,0.1606204,0.262087666,0.612849899,0.138862114,0.271424208,0.085728473,0.110777641,0.195048098,-0.414957939,0.32835563,0.017490503,0,2.761422396,2.88076663,2.626339674,3.143322825,41.8026095,123.4279105,0.215794985,24.34355793,0.338626397,1199.11733,0.323510243,0.204031819
1,罗增斌,1967/10/1,2013/2/1,0,博士,2,22,汉族,1,四川省,广元市,0,2.454103321,0.292588542,0.151698944,0.276848181,0.54794994,0.132594365,0.250553468,0.079289638,0.101772107,0.183949773,-0.395202147,0.351253386,-0.002742533,0,2.854242802,3.148238738,2.765016238,2.97939229,32.4329637,105.8563402,0.087643316,86.0100355,0.092674455,6282.309311,0.229133518,0.25757008
1,罗宁,1959/7/1,2008/5/1,1,本科,1,16,汉族,1,贵州省,遵义市,0,2.277565048,0.316125744,0.169336068,0.273610922,0.618893671,0.114989629,0.248600214,0.08326438,0.095568883,0.194252431,-0.371067956,0.352215589,0.022984665,0,2.742080609,2.767821948,2.854489724,2.926219861,27.7237996,106.9191408,0.194614928,22.04775,0.20737441,2133.975,0.389343876,0.230558381
1,罗应光,1966/12/1,2005/9/1,0,硕士,2,18,拉祜族,0,云南省,楚雄彝族自治州,0,2.302250426,0.295089767,0.158560829,0.274205497,0.578255471,0.132836818,0.238721794,0.080665907,0.098106066,0.183923572,-0.377093475,0.34948409,-0.004858891,0,2.605158925,2.953047454,2.766523719,3.062804997,25.4320355,101.7047854,0.121869055,114.9142699,0.096435754,9706.175211,0.231591415,0.333061713
1,罗强（1963）,1963/10/1,2005/8/1,0,硕士,2,18,汉族,1,重庆市,重庆市,0,2.24996235,0.275388684,0.15716482,0.271741708,0.578361053,0.120523977,0.250363594,0.09266612,0.094714911,0.182672888,-0.372108354,0.352350912,0.004898283,0,3.065611064,3.264208317,2.98376739,3.192681968,30.05518,107.8748712,0.140893745,481.4467066,0.240684147,41014.21143,0.316599697,0.738842302
1,罗志虎,1964/8/1,2006/9/1,0,硕士,2,18,蒙古族,0,内蒙古自治区,阿拉善盟,0,2.383571043,0.286001083,0.153732819,0.277722102,0.553549098,0.130515086,0.251885285,0.077762088,0.098962224,0.185804259,-0.380084267,0.351604388,0.025070942,0,2.433286607,2.734612226,2.972750962,2.802843332,40.480869,102.84579,0.146750322,112.7864775,0.164864913,6929.997469,0.464561197,0.630954274
